date_visit,n_stay,n_reserve,n_room,n_people,amount_fee
2025-06-24,15,14,30,48,643620
2025-06-25,20,15,43,122,1741000
2025-06-26,30,27,30,109,1495420
2025-06-27,50,50,66,177,2354794
2025-06-28,27,27,50,116,1625530
2025-06-29,28,23,37,62,867750
2025-06-30,20,18,31,55,755610
2025-07-01,21,13,31,61,838980
2025-07-02,16,15,37,62,929520
2025-07-03,26,26,57,142,1944530
2025-07-04,50,50,58,148,1945742
2025-07-05,18,18,27,76,973445
2025-07-06,23,17,23,62,1348643
2025-07-07,19,19,39,101,1277300
2025-07-08,10,10,34,74,994040
2025-07-09,15,13,29,59,914122
2025-07-10,41,31,41,99,1137720
2025-07-11,65,63,81,245,3251652
2025-07-12,23,22,29,76,961940
2025-07-13,9,8,47,59,693020
2025-07-14,20,20,54,80,1141256
2025-07-15,34,31,36,93,941588
2025-07-16,21,19,32,84,1215824
2025-07-17,23,22,23,80,994367
2025-07-18,74,61,73,204,4280200
2025-07-19,98,84,102,300,5356084
2025-07-20,39,34,67,219,3849292
2025-07-21,30,28,74,250,3666838
2025-07-22,21,19,22,81,982520
2025-07-23,28,27,55,159,2072240
2025-07-24,35,33,51,200,3070210
2025-07-25,75,74,98,323,5330197
2025-07-26,53,51,71,260,4280727
2025-07-27,41,40,53,200,2717982
2025-07-28,39,36,47,169,2387713
2025-07-29,46,42,67,196,2895647
2025-07-30,34,29,54,198,2965443
2025-07-31,43,40,51,201,2756271
2025-08-01,71,63,92,350,5852370
2025-08-02,69,58,92,357,6362014
2025-08-03,44,40,63,236,3969029
2025-08-04,45,41,56,176,2470991
2025-08-05,43,38,47,178,2582945
2025-08-06,45,41,56,164,2331177
2025-08-07,53,51,64,247,3773942
2025-08-08,57,50,90,268,5330107
2025-08-09,65,59,104,312,6687563
2025-08-10,81,66,98,311,6640330
2025-08-11,71,67,97,306,6454831
2025-08-12,55,51,84,279,5919176
2025-08-13,54,52,99,297,7401770
2025-08-14,51,46,67,222,4542697
2025-08-15,50,49,95,260,5282774
2025-08-16,40,37,41,161,2212406
2025-08-17,33,30,47,164,2458242
2025-08-18,22,20,25,95,1434376
2025-08-19,14,14,19,70,916163
2025-08-20,18,14,76,163,2126920
2025-08-21,21,20,73,166,2174520
2025-08-22,41,40,48,165,2387759
2025-08-23,25,24,29,105,1463744
2025-08-24,23,21,37,125,2152621
2025-08-25,12,12,22,63,1034385
2025-08-26,13,13,15,46,587961
2025-08-27,11,10,27,60,817620
2025-08-28,15,13,14,44,533020
2025-08-29,34,33,47,152,2520209
2025-08-30,11,10,20,59,1135726
2025-08-31,5,5,32,37,400400
2025-09-01,6,6,8,15,330440
2025-09-02,7,6,8,18,302264
2025-09-03,8,8,10,22,352165
2025-09-04,12,11,19,42,597300
2025-09-05,15,15,25,81,1389573
2025-09-06,8,7,36,52,725861
2025-09-07,3,3,53,71,1051600
2025-09-08,5,5,8,11,149380
2025-09-09,9,9,15,25,388080
2025-09-10,9,8,48,73,1009580
2025-09-11,11,9,41,62,744700
2025-09-12,17,15,41,109,1344838
2025-09-13,17,17,61,147,2605297
2025-09-14,7,6,36,64,894231
2025-09-15,4,4,47,66,842600
2025-09-16,9,8,39,61,848816
2025-09-17,6,6,33,36,559598
2025-09-18,9,9,9,28,422430
2025-09-19,13,12,16,45,597763
2025-09-20,12,11,37,81,1308250
2025-09-21,4,4,54,105,987580
2025-09-22,4,3,24,48,692450
2025-09-23,2,2,45,91,1285900
2025-09-24,8,7,72,144,1930886
2025-09-25,7,7,58,125,921580
2025-09-26,11,10,37,70,1184645
2025-09-27,14,13,61,106,1344130
2025-09-28,5,5,67,125,1797400
2025-09-29,10,8,10,30,420200
2025-09-30,5,5,10,27,359282
2025-10-01,6,4,71,142,1994300
2025-10-02,6,6,49,73,1036312
2025-10-03,14,14,74,211,3580650
2025-10-04,7,6,29,68,1036860
2025-10-05,5,5,51,105,874500
2025-10-06,6,5,29,63,932140
2025-10-07,6,6,35,71,1112435
2025-10-08,7,6,30,62,931150
2025-10-09,11,11,40,85,619300
2025-10-10,6,5,51,157,3115200
2025-10-11,18,18,45,104,1793220
2025-10-12,3,3,28,57,886050
2025-10-13,5,5,30,62,278740
2025-10-14,16,16,24,61,830100
2025-10-15,7,6,65,134,1822700
2025-10-16,5,5,74,168,2488200
2025-10-17,9,9,16,51,857236
2025-10-18,7,6,57,86,1453925
2025-10-19,10,8,60,104,1357290
2025-10-20,3,3,46,96,1276000
2025-10-21,14,12,55,129,1421900
2025-10-22,3,3,40,103,1313300
2025-10-23,12,12,63,128,1470700
2025-10-24,12,11,19,59,1014860
2025-10-25,10,8,65,147,2055900
2025-10-26,5,5,51,115,1040600
2025-10-27,8,8,37,75,1486960
2025-10-28,5,5,16,24,215120
2025-10-29,8,7,66,88,1319560
2025-10-30,6,5,58,76,1118700
2025-10-31,3,3,5,12,72600
2025-11-01,2,2,4,9,187660
2025-11-02,4,4,31,39,550440
